operator_name,owned,E1,E2,max-lvl,S1M3,S2M3,S3M3,operator_id
Dobermann,3,1,0,0,0,0,0,char_130_doberm
Matoimaru,3,1,0,0,0,0,0,char_289_gyuki
Conviction,3,3,0,0,0,0,0,char_159_peacok
Frostleaf,3,3,1,0,0,0,0,char_193_frostl
Estelle,3,1,0,0,0,0,0,char_127_estell
Mousse,3,2,1,0,0,0,0,char_185_frncat
Cutter,3,3,2,0,2,0,0,char_301_cutter
Utage,3,2,1,0,0,0,0,char_337_utage
Arene,3,2,0,0,0,0,0,char_271_spikes
Gravel,3,3,3,0,0,1,0,char_237_gravel
Jaye,3,3,3,0,0,2,0,char_272_strong
Rope,3,2,1,0,0,1,0,char_236_rope
Myrrh,3,3,1,0,0,0,0,char_117_myrrh
Gavial,3,3,0,0,0,0,0,char_187_ccheal
Sussurro,3,2,2,0,0,0,0,char_298_susuro
Perfumer,3,2,1,0,0,0,0,char_181_flower
Purestream,3,3,0,0,0,0,0,char_385_finlpp
Chestnut,0,0,0,0,0,0,0,char_4041_chnut
Matterhorn,3,1,0,0,0,0,0,char_199_yak
Cuora,3,3,2,0,0,0,0,char_150_snakek
Bubble,3,3,0,0,0,0,0,char_381_bubble
Gummy,3,2,1,0,1,0,0,char_196_sunbr
Dur-nar,3,2,2,0,0,0,0,char_260_durnar
Deepcolor,3,1,1,1,1,0,0,char_110_deepcl
Earthspirit,3,3,1,0,0,0,0,char_183_skgoat
Podenco,3,2,0,0,0,0,0,char_258_podego
Roberta,3,1,0,0,0,0,0,char_484_robrta
Ethan,3,3,2,0,0,1,0,char_355_ethan
Shaw,3,3,1,0,1,0,0,char_277_sqrrel
Ptilopsis,3,3,3,0,0,2,0,char_128_plosis
Breeze,1,1,1,0,0,0,0,char_275_breeze
Zima,3,2,1,0,0,0,0,char_115_headbr
Texas,3,3,3,0,0,3,0,char_102_texas
Chiave,3,1,0,0,0,0,0,char_349_chiave
Reed,3,1,1,0,0,1,0,char_261_sddrag
Wild Mane,3,1,1,0,0,0,0,char_496_wildmn
Elysium,3,3,3,0,2,3,0,char_401_elysm
Blacknight,0,0,0,0,0,0,0,char_476_blkngt
Swire,3,0,0,0,0,0,0,char_308_swire
Whislash,3,2,0,0,0,0,0,char_265_sophia
Franka,3,1,1,0,0,0,0,char_106_franka
Flamebringer,3,0,0,0,0,0,0,char_131_flameb
Indra,3,3,3,0,0,0,0,char_155_tiger
Flint,3,0,0,0,0,0,0,char_415_flint
Lappland,3,3,3,0,0,2,0,char_140_whitew
Ayerscarpe,3,1,1,0,1,0,0,char_294_ayer
Bibeak,3,3,3,1,0,2,0,char_252_bibeak
Tachanka,3,1,0,0,0,0,0,char_459_tachak
Specter,3,3,3,1,0,3,0,char_143_ghost
Broca,3,1,1,0,0,0,0,char_356_broca
Astesia,3,3,2,0,0,1,0,char_274_astesi
Sideroca,3,1,1,0,0,0,0,char_333_sidero
Akafuyu,3,1,1,0,0,0,0,char_475_akafyu
La Pluma,3,3,3,1,1,3,0,char_421_crow
Tequila,3,3,3,1,1,1,0,char_486_takila
Blue Poison,3,3,2,0,2,1,0,char_129_bluep
Platinum,3,3,2,1,0,2,0,char_204_platnm
GreyThroat,3,1,1,0,0,0,0,char_367_swllow
April,2,1,1,0,0,1,0,char_365_aprl
Kroos the Keen Glint,0,0,0,0,0,0,0,char_1021_kroos2
Meteorite,3,3,3,0,1,0,0,char_219_meteo
Sesa,3,0,0,0,0,0,0,char_379_sesa
Executor,3,2,0,0,0,0,0,char_279_excu
Aosta,2,0,0,0,0,0,0,char_346_aosta
Amiya,3,3,3,1,0,0,0,char_002_amiya
Absinthe,3,1,1,0,0,0,0,char_405_absin
Tomimi,3,1,1,0,0,0,0,char_411_tomimi
Skyfire,3,1,0,0,0,0,0,char_166_skfire
Leizi,3,0,0,0,0,0,0,char_306_leizi
Beeswax,2,2,1,0,0,0,0,char_344_beewax
Leonhardt,1,0,0,0,0,0,0,char_373_lionhd
Mint,3,0,0,0,0,0,0,char_388_mint
Iris,3,1,1,0,0,0,0,char_338_iris
Lava the Purgatory,3,2,1,0,0,0,0,char_1011_lava2
Corroserum,3,0,0,0,0,0,0,char_489_serum
Kjera,0,0,0,0,0,0,0,char_4013_kjera
Rockrock,0,0,0,0,0,0,0,char_4040_rockr
Mayer,3,3,2,2,0,2,0,char_242_otter
Scene,3,3,2,0,0,1,0,char_336_folivo
Silence,3,3,2,0,0,0,0,char_108_silent
Warfarin,3,3,3,0,0,3,0,char_171_bldsk
Folinic,3,1,1,0,0,0,0,char_345_folnic
Ceylon,3,0,0,0,0,0,0,char_348_ceylon
Whisperain,3,3,3,0,0,1,0,char_436_whispr
Tuye,3,1,0,0,0,0,0,char_402_tuye
Mulberry,2,2,1,0,0,0,0,char_473_mberry
Honeyberry,1,1,0,0,0,0,0,char_449_glider
Nearl,3,3,3,0,0,0,0,char_148_nearl
Hung,3,0,0,0,0,0,0,char_226_hmau
Projekt Red,3,3,3,0,0,2,0,char_144_red
Waai Fu,3,3,3,0,0,0,0,char_243_waaifu
Kafka,3,1,0,0,0,0,0,char_214_kafka
Mr.Nothing,2,1,1,0,0,0,0,char_455_nothin
Liskarm,3,3,3,0,0,0,0,char_107_liskam
Croissant,3,1,0,0,0,0,0,char_201_moeshd
Bison,3,0,0,0,0,0,0,char_325_bison
Vulcan,3,3,3,0,0,0,0,char_163_hpsts
Asbestos,2,0,0,0,0,0,0,char_378_asbest
Shalem,0,0,0,0,0,0,0,char_4025_aprot2
Blitz,2,0,0,0,0,0,0,char_457_blitz
Heavyrain,3,0,0,0,0,0,0,char_304_zebra
Ashlock,2,2,2,0,0,1,0,char_431_ashlok
Aurora,0,0,0,0,0,0,0,char_422_aurora
Provence,3,3,2,0,0,0,0,char_145_prove
Firewatch,3,3,3,0,0,1,0,char_158_milu
Andreana,2,0,0,0,0,0,0,char_218_cuttle
Toddifons,1,0,0,0,0,0,0,char_363_toddi
Cliffheart,3,3,2,0,0,2,0,char_173_slchan
Snowsant,3,1,1,0,0,0,0,char_383_snsant
Pramanix,3,3,1,0,0,0,0,char_174_slbell
Shamare,3,3,3,0,0,3,0,char_254_vodfox
Istina,3,2,1,0,0,0,0,char_195_glassb
Glaucus,3,3,2,0,0,1,0,char_326_glacus
Sora,3,3,2,0,0,0,0,char_101_sora
Heidi,0,0,0,0,0,0,0,char_4045_heidi
Tsukinogi,3,0,0,0,0,0,0,char_343_tknogi
Nine-Colored Deer,0,0,0,0,0,0,0,char_4019_ncdeer
Quercus,0,0,0,0,0,0,0,char_492_quercu
Manticore,3,3,3,0,2,0,0,char_215_mantic
Kirara,2,0,0,0,0,0,0,char_478_kirara
FEater,3,3,2,0,2,1,0,char_241_panda
Enforcer,0,0,0,0,0,0,0,char_4036_forcer
Robin,3,3,2,0,0,0,0,char_451_robin
Frost,2,1,0,0,0,0,0,char_458_rfrost
Bena,3,1,0,0,0,0,0,char_369_bena
Kazemaru,0,0,0,0,0,0,0,char_4016_kazema
Exusiai,3,3,3,1,0,0,3,char_103_angel
Archetto,1,1,1,0,0,0,0,char_332_archet
Ash,3,3,3,1,0,2,0,char_456_ash
Schwarz,3,3,3,0,0,0,2,char_340_shwaz
Fartooth,1,1,1,0,0,0,0,char_430_fartth
W,2,2,2,0,0,0,1,char_113_cqbw
Fiammetta,0,0,0,0,0,0,0,char_300_phenxi
Rosa,2,2,2,0,0,0,1,char_197_poca
Rosmontis,3,3,3,0,0,0,1,char_391_rosmon
Ch'en the Holungday,2,2,2,1,0,0,2,char_1013_chen2
Siege,3,3,2,0,0,1,0,char_112_siege
Bagpipe,3,3,3,1,0,1,3,char_222_bpipe
Saga,2,2,2,0,0,2,1,char_362_saga
Saileach,3,3,3,0,0,0,2,char_479_sleach
Flametail,3,3,3,0,0,0,1,char_420_flamtl
Ifrit,3,3,3,1,0,2,3,char_134_ifrit
Mostima,2,2,2,0,0,0,0,char_213_mostma
Eyjafjalla,3,3,3,1,0,3,3,char_180_amgoat
Ceobe,2,2,2,0,0,2,0,char_2013_cerber
Dusk,1,1,1,0,1,1,0,char_2015_dusk
Passenger,2,2,2,0,0,0,1,char_472_pasngr
Carnelian,1,1,1,0,0,0,0,char_426_billro
Goldenglow,0,0,0,0,0,0,0,char_377_gdglow
Gnosis,0,0,0,0,0,0,0,char_206_gnosis
Angelina,3,3,3,0,0,2,2,char_291_aglina
Suzuran,3,3,3,0,0,1,3,char_358_lisa
Magallan,3,3,2,1,1,0,1,char_248_mgllan
Skadi the Corrupting Heart,3,3,3,1,0,3,1,char_1012_skadi2
Ling,0,0,0,0,0,0,0,char_2023_ling
Phantom,2,2,2,0,0,2,1,char_250_phatom
Lee,0,0,0,0,0,0,0,char_322_lmlee
Weedy,3,3,3,0,0,3,2,char_400_weedy
Aak,3,2,2,0,0,0,2,char_225_haak
Gladiia,3,3,3,0,0,1,0,char_474_glady
Mizuki,2,2,2,0,0,0,0,char_437_mizuki
Shining,3,3,3,0,0,0,1,char_147_shining
Nightingale,3,3,3,0,0,0,3,char_179_cgbird
Kal'tsit,3,3,3,1,0,2,3,char_003_kalts
Hoshiguma,3,3,3,0,0,1,1,char_136_hsguma
Saria,3,3,3,0,3,1,3,char_202_demkni
Blemishine,1,1,1,0,0,0,0,char_423_blemsh
Nian,1,1,1,0,0,0,0,char_2014_nian
Mudrock,3,3,3,1,0,2,3,char_311_mudrok
Eunectes,2,1,1,0,0,0,0,char_416_zumama
Horn,0,0,0,0,0,0,0,char_4039_horn
Mountain,3,2,2,0,0,2,1,char_264_f12yin
SilverAsh,3,3,3,1,0,0,3,char_172_svrash
Thorns,3,2,2,0,0,0,2,char_293_thorns
Ch'en,3,3,3,0,1,3,2,char_010_chen
Blaze,3,3,3,1,0,3,0,char_017_huang
Surtr,3,3,3,1,1,1,3,char_350_surtr
Hellagur,2,2,2,0,0,1,0,char_188_helage
Pallas,2,2,2,0,1,0,1,char_485_pallas
Nearl the Radiant Knight,3,3,3,0,0,2,2,char_1014_nearl2
Savage,3,2,1,0,0,0,0,char_230_savage
Catapult,3,3,0,1,0,0,0,char_282_catap
Midnight,3,1,0,1,0,0,0,char_283_midn
Beehunter,3,0,0,0,0,0,0,char_137_brownb
Jackie,3,0,0,0,0,0,0,char_347_jaksel
Nightmare,3,0,0,0,0,0,0,char_164_nightm
Grani,3,2,0,0,0,0,0,char_220_grani
Skadi,3,3,3,0,0,0,0,char_263_skadi
Amiya (Guard),3,3,3,1,1,1,0,char_1001_amiya2
