operator_name,owned,E1,E2,max-lvl,S1M3,S2M3,S3M3,operator_id
Manticore,3,3,3,0,2,0,0,char_215_mantic
Kirara,3,1,1,0,0,1,0,char_478_kirara
FEater,3,3,2,0,2,1,0,char_241_panda
Enforcer,0,0,0,0,0,0,0,char_4036_forcer
Robin,3,3,2,0,0,0,0,char_451_robin
Frost,2,1,0,0,0,0,0,char_458_rfrost
Bena,3,1,0,0,0,0,0,char_369_bena
Kazemaru,0,0,0,0,0,0,0,char_4016_kazema
Exusiai,5,4,4,1,0,0,4,char_103_angel
Archetto,1,1,1,0,0,0,0,char_332_archet
Ash,5,5,5,1,0,4,0,char_456_ash
Schwarz,4,4,4,0,0,0,3,char_340_shwaz
Fartooth,2,2,2,0,0,0,1,char_430_fartth
W,4,4,4,0,0,1,2,char_113_cqbw
Fiammetta,0,0,0,0,0,0,0,char_300_phenxi
Rosa,3,3,3,0,0,0,2,char_197_poca
Rosmontis,5,5,5,0,0,0,3,char_391_rosmon
Ch'en the Holungday,4,4,4,1,0,0,4,char_1013_chen2
Siege,5,5,4,0,0,2,0,char_112_siege
Bagpipe,5,4,4,1,0,1,4,char_222_bpipe
Saga,4,4,4,0,0,2,3,char_362_saga
Saileach,4,4,4,0,0,0,3,char_479_sleach
Flametail,3,3,3,0,0,0,1,char_420_flamtl
Ifrit,5,5,5,1,0,2,5,char_134_ifrit
Mostima,3,3,3,0,0,0,0,char_213_mostma
Eyjafjalla,5,5,5,1,0,3,5,char_180_amgoat
Ceobe,3,3,3,0,0,3,0,char_2013_cerber
Dusk,3,3,3,1,3,2,1,char_2015_dusk
Passenger,2,2,2,0,0,0,1,char_472_pasngr
Carnelian,1,1,1,0,0,0,0,char_426_billro
Goldenglow,0,0,0,0,0,0,0,char_377_gdglow
Gnosis,0,0,0,0,0,0,0,char_206_gnosis
Angelina,5,5,5,1,1,3,4,char_291_aglina
Suzuran,5,5,5,0,0,1,5,char_358_lisa
Magallan,4,4,3,1,1,0,1,char_248_mgllan
Skadi the Corrupting Heart,5,5,5,1,0,5,1,char_1012_skadi2
Ling,0,0,0,0,0,0,0,char_2023_ling
Phantom,3,3,3,0,0,3,1,char_250_phatom
Lee,0,0,0,0,0,0,0,char_322_lmlee
Weedy,5,5,5,1,1,4,4,char_400_weedy
Aak,4,3,3,0,0,0,3,char_225_haak
Gladiia,4,4,4,0,0,1,0,char_474_glady
Mizuki,2,2,2,0,0,0,0,char_437_mizuki
Shining,5,5,5,0,0,0,2,char_147_shining
Nightingale,5,5,5,0,0,0,5,char_179_cgbird
Kal'tsit,5,5,5,1,0,2,5,char_003_kalts
Hoshiguma,5,5,5,0,0,1,2,char_136_hsguma
Saria,5,5,5,0,4,1,5,char_202_demkni
Blemishine,1,1,1,0,0,0,0,char_423_blemsh
Nian,3,3,3,0,0,0,1,char_2014_nian
Mudrock,5,5,5,1,0,2,5,char_311_mudrok
Eunectes,4,3,3,0,0,0,2,char_416_zumama
Horn,0,0,0,0,0,0,0,char_4039_horn
Mountain,4,3,3,0,0,3,2,char_264_f12yin
SilverAsh,5,5,5,2,0,0,5,char_172_svrash
Thorns,5,4,4,1,0,0,3,char_293_thorns
Ch'en,5,4,4,0,1,4,2,char_010_chen
Blaze,5,5,5,1,0,5,0,char_017_huang
Surtr,5,5,5,2,1,1,4,char_350_surtr
Hellagur,4,4,4,0,0,3,0,char_188_helage
Pallas,3,3,3,1,2,1,2,char_485_pallas
Nearl the Radiant Knight,3,3,3,0,0,2,2,char_1014_nearl2
Savage,4,2,1,0,0,0,0,char_230_savage
Catapult,4,4,0,2,0,0,0,char_282_catap
Midnight,4,2,0,2,0,0,0,char_283_midn
Beehunter,4,0,0,0,0,0,0,char_137_brownb
Jackie,4,0,0,0,0,0,0,char_347_jaksel
Nightmare,3,0,0,0,0,0,0,char_164_nightm
Grani,4,3,1,1,1,1,0,char_220_grani
Skadi,5,4,4,0,0,0,0,char_263_skadi
Amiya (Guard),5,5,5,1,2,1,0,char_1001_amiya2
